id,sus_id,name
4214805,42004,Alto Vale do Itajaí
4214904,42016,Laguna
4215000,42012,Planalto Norte
4215059,42013,Serra Catarinense
4215075,42002,Oeste
4215109,42006,Médio Vale do Itajaí
4215208,42001,Extremo Oeste
4215307,42004,Alto Vale do Itajaí
4215356,42001,Extremo Oeste
4215406,42009,Alto Vale do Rio do Peixe
4215455,42016,Laguna
4215505,42009,Alto Vale do Rio do Peixe
4215554,42001,Extremo Oeste
4215604,42016,Laguna
4215653,42014,Extremo Sul Catarinense
4215679,42004,Alto Vale do Itajaí
4215687,42001,Extremo Oeste
4215695,42002,Oeste
4215703,42007,Grande Florianópolis
4215752,42003,Xanxerê
4215802,42012,Planalto Norte
4215901,42007,Grande Florianópolis
4216008,42002,Oeste
4216057,42009,Alto Vale do Rio do Peixe
4216107,42003,Xanxerê
4216206,42011,Nordeste
4216255,42001,Extremo Oeste
4216305,42007,Grande Florianópolis
4216354,42011,Nordeste
4216404,42014,Extremo Sul Catarinense
4216503,42013,Serra Catarinense
4216602,42007,Grande Florianópolis
4216701,42001,Extremo Oeste
4216800,42013,Serra Catarinense
4216909,42003,Xanxerê
4217006,42016,Laguna
4217105,42016,Laguna
4217154,42001,Extremo Oeste
4217204,42001,Extremo Oeste
4217253,42007,Grande Florianópolis
4217303,42001,Extremo Oeste
4217402,42011,Nordeste
4217501,42010,Alto Uruguai Catarinense
4217550,42002,Oeste
4217600,42015,Carbonífera
4217709,42014,Extremo Sul Catarinense
4217758,42002,Oeste
4217808,42004,Alto Vale do Itajaí
4217907,42009,Alto Vale do Rio do Peixe
4217956,42001,Extremo Oeste
4218004,42007,Grande Florianópolis
4218103,42014,Extremo Sul Catarinense
4218202,42006,Médio Vale do Itajaí
4218251,42009,Alto Vale do Rio do Peixe
4218301,42012,Planalto Norte
4218350,42015,Carbonífera
4218400,42016,Laguna
4218509,42008,Meio Oeste
4218608,42004,Alto Vale do Itajaí
4218707,42016,Laguna
4218756,42001,Extremo Oeste
4218806,42014,Extremo Sul Catarinense
4218855,42002,Oeste
4218905,42013,Serra Catarinense
4218954,42013,Serra Catarinense
4219002,42015,Carbonífera
4219101,42003,Xanxerê
4219150,42008,Meio Oeste
4219176,42008,Meio Oeste
4219200,42004,Alto Vale do Itajaí
4219309,42009,Alto Vale do Rio do Peixe
4219358,42004,Alto Vale do Itajaí
4219408,42004,Alto Vale do Itajaí
4219507,42003,Xanxerê
4219606,42010,Alto Uruguai Catarinense
4219705,42003,Xanxerê
4219853,42008,Meio Oeste
4212650,42016,Laguna
4220000,42015,Carbonífera
2800100,28007,Propriá
2800209,28007,Propriá
